Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
3,male,27.4318181818182,0,0,7.2292,C,Mr
3,male,40,1,5,31.3875,S,Mr
2,female,15,0,2,39,S,Miss
2,female,20,0,0,36.75,S,Miss
1,male,54,1,0,55.4417,C,Mr
2,female,36,0,3,39,S,Mrs
1,female,64,0,2,83.1583,C,Mrs
2,male,30,0,0,13,S,Mr
1,male,37,1,1,83.1583,C,Mr
1,female,18,1,0,53.1,S,Mrs
3,male,27.4318181818182,0,0,7.75,Q,Mr
1,female,27,1,1,247.5208,C,Mrs
2,male,40,0,0,16,S,Mr
2,female,21,0,1,21,S,Miss
3,male,17,2,0,8.05,S,Mr
3,female,9.6,8,2,69.55,S,Miss
2,male,40,0,0,13,S,Mr
2,male,34,1,0,26,S,Mr
1,male,40.5474308300395,0,0,26,S,Mr
3,male,11.5,1,1,14.5,S,Master
2,male,61,0,0,12.35,Q,Mr
2,male,8,0,2,32.5,S,Master
3,male,33,0,0,7.8542,S,Mr
1,male,6,0,2,134.5,C,Master
3,female,18,0,0,7.775,S,Miss
2,male,23,0,0,10.5,S,Mr
3,female,27.4318181818182,0,0,8.1125,S,Mrs
3,female,27.4318181818182,0,0,15.5,Q,Miss
3,male,0.33,0,2,14.4,S,Master
1,male,47,1,0,227.525,C,Other
2,female,8,1,1,26,S,Miss
2,male,25,0,0,10.5,S,Mr
1,male,40.5474308300395,0,0,25.7417,C,Mr
3,female,35,0,0,7.75,Q,Miss
2,male,24,0,0,10.5,S,Mr
1,female,33,0,0,27.7208,C,Miss
3,male,25,0,0,7.8958,S,Mr
3,male,32,0,0,22.525,S,Mr
3,male,27.4318181818182,0,0,7.05,S,Mr
2,male,17,0,0,73.5,S,Mr
2,female,60,1,0,26,S,Mrs
3,female,38,4,2,7.775,S,Miss
1,male,42,0,0,42.5,S,Mr
3,female,27.4318181818182,0,0,7.8792,Q,Miss
1,male,57,1,1,164.8667,S,Mr
1,female,50,1,1,211.5,C,Mrs
3,male,27.4318181818182,0,0,8.05,S,Mr
2,female,30,1,0,13.8583,C,Miss
3,male,21,0,0,8.05,S,Mr
2,female,22,0,0,10.5,S,Mrs
3,male,21,0,0,7.7958,S,Mr
1,female,53,0,0,27.4458,C,Mrs
3,female,20.3072519083969,0,2,15.2458,C,Mrs
3,male,23,0,0,7.7958,S,Mr
3,female,27.4318181818182,0,0,7.75,Q,Miss
3,male,40.5,0,0,15.1,S,Mr
2,male,36,0,0,13,S,Mr
2,male,14,0,0,65,S,Mr
1,female,21,0,0,26.55,S,Miss
3,male,21,1,0,6.4958,S,Mr
3,male,27.4318181818182,0,0,7.8792,Q,Mr
1,male,39,1,0,71.2833,C,Mr
3,male,20,0,0,7.8542,S,Mr
1,male,64,1,0,75.25,C,Mr
3,male,20,0,0,7.225,C,Mr
2,female,18,1,1,13,S,Miss
1,female,48,1,0,106.425,C,Mrs
1,female,55,0,0,27.7208,C,Mrs
2,female,45,0,2,30,S,Mrs
1,male,45,1,1,134.5,C,Mr
3,male,27.4318181818182,0,0,7.8875,S,Mr
3,male,20.3072519083969,1,2,23.45,S,Master
1,male,41,1,0,51.8625,S,Mr
2,female,22,0,0,21,S,Mrs
2,male,42,1,1,32.5,S,Mr
2,female,29,1,0,26,S,Mrs
3,female,27.4318181818182,1,0,14.4542,C,Mrs
2,female,0.92,1,2,27.75,S,Miss
3,male,20,0,0,7.925,S,Mr
1,male,27,1,0,136.7792,C,Mr
3,male,24,0,0,9.325,S,Mr
3,male,32.5,0,0,9.5,S,Mr
3,male,27.4318181818182,0,0,7.55,S,Mr
3,male,27.4318181818182,0,0,7.75,Q,Mr
3,male,28,0,0,8.05,S,Mr
2,female,19,0,0,13,S,Miss
3,male,21,0,0,7.775,S,Mr
3,male,36.5,1,0,17.4,S,Mr
3,male,21,0,0,7.8542,S,Mr
2,female,29,0,2,23,S,Mrs
3,female,1,1,1,12.1833,S,Miss
2,male,30,0,0,12.7375,C,Mr
3,male,27.4318181818182,0,0,7.8958,S,Mr
1,male,40.5474308300395,0,0,0,S,Mr
3,male,27.4318181818182,0,0,7.55,S,Mr
3,female,27.4318181818182,0,0,8.05,S,Miss
3,male,17,0,0,8.6625,S,Mr
1,male,46,0,0,75.2417,C,Mr
3,male,27.4318181818182,0,0,7.75,Q,Mr
1,female,26,1,0,136.7792,C,Mrs
3,female,27.4318181818182,1,0,15.5,Q,Miss
3,male,27.4318181818182,0,0,7.225,C,Mr
2,female,20,1,0,26,S,Miss
2,male,28,0,0,10.5,S,Mr
2,male,40,1,0,26,S,Mr
2,male,30,1,0,21,S,Mr
2,male,22,0,0,10.5,S,Mr
3,female,23,0,0,8.6625,S,Miss
3,male,0.75,1,1,13.775,S,Master
3,female,27.4318181818182,0,0,7.75,Q,Miss
3,female,9,1,1,15.2458,C,Miss
3,female,2,1,1,20.2125,S,Miss
3,male,36,0,0,7.25,S,Mr
3,male,27.4318181818182,0,0,7.25,S,Mr
1,male,24,1,0,82.2667,S,Mr
3,male,27.4318181818182,0,0,7.2292,C,Mr
3,male,27.4318181818182,0,0,8.05,S,Mr
1,male,40.5474308300395,0,0,39.6,S,Mr
3,female,30,0,0,6.95,Q,Miss
3,male,27.4318181818182,0,0,7.2292,C,Mr
1,male,53,1,1,81.8583,S,Other
3,male,36,0,0,9.5,S,Mr
3,male,26,0,0,7.8958,S,Mr
2,female,1,1,2,41.5792,C,Miss
3,male,27.4318181818182,2,0,21.6792,C,Mr
1,male,30,0,0,45.5,S,Mr
3,male,29,0,0,7.8542,S,Mr
3,male,32,0,0,7.775,S,Mr
2,male,32.1026315789474,0,0,15.0458,C,Mr
2,male,43,0,1,21,S,Mr
3,male,24,0,0,8.6625,S,Mr
3,female,27.4318181818182,0,0,7.75,Q,Miss
1,female,64,1,1,26.55,S,Mrs
1,male,30,1,2,151.55,S,Mr
3,male,0.83,0,1,9.35,S,Master
1,male,55,1,1,93.5,S,Mr
3,female,45,1,0,14.1083,S,Mrs
3,male,18,0,0,8.6625,S,Mr
3,male,22,0,0,7.225,C,Mr
3,male,27.4318181818182,0,0,7.575,S,Mr
3,female,37,0,0,7.75,Q,Miss
1,female,55,0,0,135.6333,C,Mrs
3,female,17,0,0,7.7333,Q,Miss
1,male,57,1,0,146.5208,C,Mr
2,male,19,0,0,10.5,S,Mr
3,male,27,0,0,7.8542,S,Mr
2,male,22,2,0,31.5,S,Mr
3,male,26,0,0,7.775,S,Mr
3,male,25,0,0,7.2292,C,Mr
2,male,26,0,0,13,S,Mr
1,male,33,0,0,26.55,S,Mr
1,female,39,0,0,211.3375,S,Miss
3,male,23,0,0,7.05,S,Mr
2,female,12,2,1,39,S,Miss
1,male,46,0,0,79.2,C,Mr
2,male,29,1,0,26,S,Mr
2,male,21,0,0,13,S,Mr
2,female,48,0,2,36.75,S,Mrs
1,male,39,0,0,29.7,C,Mr
3,male,27.4318181818182,0,0,7.225,C,Mr
3,female,19,1,1,15.7417,C,Mrs
3,male,27,0,0,7.8958,S,Mr
1,male,30,0,0,26,S,Mr
2,male,32,0,0,13,S,Mr
3,male,39,0,2,7.2292,C,Mr
2,male,25,0,0,31.5,S,Mr
3,male,27.4318181818182,0,0,7.2292,C,Master
2,male,18,0,0,10.5,S,Mr
3,male,32,0,0,7.5792,S,Mr
3,male,37.3529411764706,1,9,69.55,S,Mr
1,female,58,0,1,512.3292,C,Mrs
3,male,20.3072519083969,1,1,14.5,S,Master
3,female,16,0,0,7.65,S,Miss
2,male,26,0,0,13,S,Mr
3,female,38,0,0,7.2292,C,Mrs
2,male,24,0,0,13.5,S,Mr
2,female,31,0,0,21,S,Miss
1,female,45,0,1,63.3583,C,Mrs
2,male,25,0,0,10.5,S,Mr
2,male,18,0,0,73.5,S,Mr
2,male,49,1,2,65,S,Mr
3,female,0.17,1,2,20.575,S,Miss
1,male,50,0,0,26,S,Mr
1,female,59,2,0,51.4792,S,Mrs
3,male,27.4318181818182,0,0,7.8792,S,Mr
3,male,27.4318181818182,0,0,7.75,Q,Mr
3,female,30,1,0,15.55,S,Mrs
3,male,14.5,8,2,69.55,S,Master
2,female,24,1,1,37.0042,C,Mrs
2,female,31,0,0,21,S,Mrs
3,male,27,0,0,8.6625,S,Mr
1,female,25,1,0,55.4417,C,Mrs
3,female,37.3529411764706,1,9,69.55,S,Mrs
3,male,27.4318181818182,1,0,14.4583,C,Mr
3,female,22,0,0,39.6875,S,Miss
1,female,45,0,1,59.4,C,Mrs
2,male,29,0,0,13.8583,C,Mr
2,male,21,1,0,11.5,S,Mr
1,female,31,0,0,134.5,C,Miss
1,male,49,0,0,0,S,Mr
2,male,44,0,0,13,S,Mr
1,female,54,1,1,81.8583,S,Mrs
1,female,45,0,0,262.375,C,Miss
3,female,22,2,0,8.6625,S,Miss
2,male,21,0,0,11.5,S,Mr
1,male,55,0,0,50,S,Mr
3,male,5,4,2,31.3875,S,Master
3,male,27.4318181818182,0,0,7.75,Q,Mr
3,male,26,0,0,7.8792,Q,Mr
3,female,27.4318181818182,0,0,14.5,S,Mrs
3,female,19,1,0,16.1,S,Mrs
2,male,32.1026315789474,0,0,12.875,S,Mr
2,female,24,1,2,65,S,Miss
3,male,24,0,0,7.775,S,Mr
2,male,57,0,0,13,S,Mr
3,male,21,0,0,7.75,Q,Mr
3,male,6,3,1,21.075,S,Master
1,male,23,0,0,93.5,S,Mr
1,female,51,0,1,39.4,S,Mrs
3,male,13,0,2,20.25,S,Master
2,male,47,0,0,10.5,S,Mr
3,male,29,3,1,22.025,S,Mr
1,female,18,1,0,60,S,Mrs
3,male,24,0,0,7.25,Q,Mr
1,female,48,1,1,79.2,C,Mrs
3,male,22,0,0,7.775,S,Mr
3,male,31,0,0,7.7333,Q,Mr
1,female,30,0,0,164.8667,S,Miss
2,male,38,1,0,21,S,Mr
1,female,22,0,1,59.4,C,Miss
1,male,17,0,0,47.1,S,Mr
1,male,43,1,0,27.7208,C,Mr
2,male,20,0,0,13.8625,C,Mr
2,male,23,1,0,10.5,S,Mr
1,male,50,1,1,211.5,C,Mr
3,female,27.4318181818182,0,0,7.7208,Q,Miss
3,female,3,1,1,13.775,S,Miss
3,female,27.4318181818182,0,0,7.75,Q,Miss
1,female,37,1,0,90,Q,Mrs
3,female,28,0,0,7.775,S,Miss
3,male,27.4318181818182,0,0,8.05,S,Mr
1,female,39,0,0,108.9,C,Other
3,male,38.5,0,0,7.25,S,Mr
3,male,27.4318181818182,0,0,8.05,S,Mr
3,male,20.3072519083969,1,1,22.3583,C,Master
